Size,Type,MergeSort,HybridSort(Threshold=20)
500,Random,344,135
500,Reversed,265,106
500,NearlySorted,271,99
600,Random,385,152
600,Reversed,323,124
600,NearlySorted,316,84
700,Random,448,194
700,Reversed,352,164
700,NearlySorted,355,113
800,Random,518,225
800,Reversed,409,159
800,NearlySorted,399,115
900,Random,543,228
900,Reversed,410,161
900,NearlySorted,408,110
1000,Random,494,213
1000,Reversed,385,151
1000,NearlySorted,396,113
1100,Random,472,198
1100,Reversed,342,138
1100,NearlySorted,341,87
1200,Random,423,177
1200,Reversed,327,132
1200,NearlySorted,343,96
1300,Random,417,193
1300,Reversed,331,135
1300,NearlySorted,335,94
1400,Random,460,220
1400,Reversed,363,154
1400,NearlySorted,375,125
1500,Random,495,232
1500,Reversed,369,159
1500,NearlySorted,377,125
1600,Random,522,243
1600,Reversed,418,184
1600,NearlySorted,423,133
1700,Random,562,252
1700,Reversed,439,185
1700,NearlySorted,436,132
1800,Random,588,280
1800,Reversed,475,200
1800,NearlySorted,466,139
1900,Random,639,304
1900,Reversed,520,216
1900,NearlySorted,514,151
2000,Random,672,311
2000,Reversed,524,227
2000,NearlySorted,515,152
2100,Random,688,312
2100,Reversed,531,239
2100,NearlySorted,543,157
2200,Random,742,348
2200,Reversed,577,262
2200,NearlySorted,588,173
2300,Random,790,349
2300,Reversed,588,270
2300,NearlySorted,630,199
2400,Random,832,367
2400,Reversed,621,271
2400,NearlySorted,638,190
2500,Random,832,373
2500,Reversed,634,283
2500,NearlySorted,649,182
2600,Random,855,394
2600,Reversed,650,289
2600,NearlySorted,676,209
2700,Random,897,449
2700,Reversed,722,295
2700,NearlySorted,687,233
2800,Random,941,450
2800,Reversed,724,295
2800,NearlySorted,724,247
2900,Random,985,468
2900,Reversed,852,341
2900,NearlySorted,741,240
3000,Random,1011,510
3000,Reversed,774,344
3000,NearlySorted,780,255
3100,Random,1054,519
3100,Reversed,791,346
3100,NearlySorted,795,267
3200,Random,1094,518
3200,Reversed,842,343
3200,NearlySorted,834,266
3300,Random,1126,537
3300,Reversed,853,381
3300,NearlySorted,859,282
3400,Random,1167,555
3400,Reversed,891,420
3400,NearlySorted,979,309
3500,Random,1202,577
3500,Reversed,912,401
3500,NearlySorted,933,288
3600,Random,1231,596
3600,Reversed,937,419
3600,NearlySorted,934,301
3700,Random,1267,616
3700,Reversed,968,452
3700,NearlySorted,1002,296
3800,Random,1288,622
3800,Reversed,993,433
3800,NearlySorted,1002,297
3900,Random,1327,637
3900,Reversed,1031,488
3900,NearlySorted,1025,317
4000,Random,1362,658
4000,Reversed,1046,468
4000,NearlySorted,1038,314
4100,Random,1416,659
4100,Reversed,1061,472
4100,NearlySorted,1051,322
4200,Random,1455,676
4200,Reversed,1089,480
4200,NearlySorted,1091,328
4300,Random,1473,684
4300,Reversed,1138,514
4300,NearlySorted,1114,330
4400,Random,1509,717
4400,Reversed,1186,552
4400,NearlySorted,1169,343
4500,Random,1580,751
4500,Reversed,1201,537
4500,NearlySorted,1205,346
4600,Random,1586,751
4600,Reversed,1252,555
4600,NearlySorted,1272,363
4700,Random,1621,794
4700,Reversed,1281,567
4700,NearlySorted,1252,357
4800,Random,1673,785
4800,Reversed,1275,592
4800,NearlySorted,1311,371
4900,Random,1707,810
4900,Reversed,1297,610
4900,NearlySorted,1335,377
5000,Random,1729,823
5000,Reversed,1359,604
5000,NearlySorted,1322,402
5100,Random,1762,914
5100,Reversed,1351,609
5100,NearlySorted,1364,405
5200,Random,1809,874
5200,Reversed,1384,624
5200,NearlySorted,1361,424
5300,Random,1818,940
5300,Reversed,1437,658
5300,NearlySorted,1431,472
5400,Random,1892,955
5400,Reversed,1446,636
5400,NearlySorted,1444,518
5500,Random,1922,994
5500,Reversed,1479,672
5500,NearlySorted,1482,524
5600,Random,1964,1010
5600,Reversed,1515,670
5600,NearlySorted,1531,538
5700,Random,1988,1020
5700,Reversed,1534,686
5700,NearlySorted,1527,533
5800,Random,2027,1037
5800,Reversed,1559,708
5800,NearlySorted,1588,561
5900,Random,2065,1050
5900,Reversed,1585,744
5900,NearlySorted,1568,550
6000,Random,2111,1111
6000,Reversed,1634,755
6000,NearlySorted,1622,565
6100,Random,2147,1075
6100,Reversed,1684,726
6100,NearlySorted,1644,574
6200,Random,2226,1139
6200,Reversed,1696,775
6200,NearlySorted,1646,566
6300,Random,2216,1108
6300,Reversed,1709,769
6300,NearlySorted,1672,577
6400,Random,2254,1141
6400,Reversed,1733,766
6400,NearlySorted,1740,579
6500,Random,2308,1198
6500,Reversed,1822,817
6500,NearlySorted,1766,654
6600,Random,2355,1208
6600,Reversed,1818,790
6600,NearlySorted,1767,582
6700,Random,2387,1212
6700,Reversed,1829,829
6700,NearlySorted,1784,637
6800,Random,2406,1215
6800,Reversed,1863,810
6800,NearlySorted,1827,658
6900,Random,2436,1217
6900,Reversed,1871,851
6900,NearlySorted,1845,616
7000,Random,2479,1271
7000,Reversed,1928,857
7000,NearlySorted,1894,629
7100,Random,2563,1274
7100,Reversed,1933,905
7100,NearlySorted,1919,645
7200,Random,2532,1285
7200,Reversed,1997,881
7200,NearlySorted,1923,630
7300,Random,2592,1316
7300,Reversed,1997,905
